SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDFMPIR
98761,2,4,3,26505.72082,26170.52075,2,139,2.82
98762,1,28,3,61489.94412,66979.10398,1,146,2.09
98763,2,51,4,21254.75012,23083.13218,1,148,NA
98764,2,6,6,9151.038508,0,2,138,NA
98765,1,4,3,35243.86616,48246.81327,2,146,0.95
98766,2,4,3,31111.50054,30604.01146,2,139,NA
98767,2,63,6,14245.48307,15081.43068,1,137,5
98768,2,76,4,22419.67638,23020.96976,2,135,0.76
98769,1,41,6,23430.0797,23854.66359,2,138,5
98770,2,46,4,20625.77102,23397.77997,2,146,3.88
98771,1,0,6,14245.11694,15697.26133,1,136,4.6
98772,1,59,3,31223.84319,33420.90168,2,143,0.74
98773,1,14,6,7128.182013,7185.657144,1,137,0.88
98774,2,6,1,13939.38896,14052.5618,1,147,0.81
98775,1,26,7,18850.04511,19404.02303,1,141,5
98776,2,45,3,23751.97422,23694.9021,1,142,1.49
98777,1,7,4,12484.26481,13504.39929,2,136,0.65
98778,1,42,6,14521.29801,14726.62925,1,148,4.17
98779,2,0,2,11149.70126,11193.95942,1,135,0.16
98780,1,45,4,39570.64328,41722.47745,2,136,0.36
98781,2,55,3,37940.66962,39350.11949,2,143,1.52
98782,2,43,4,17283.25087,17853.89237,1,147,2.65
98783,2,40,3,28437.88333,35094.38436,2,139,1.49
98784,2,25,7,75043.64533,83224.22956,1,140,0.83
98785,1,0,3,8492.858889,8093.538471,2,141,1.35
98786,1,17,3,45842.16332,45935.67543,2,139,3.98
98787,2,9,3,37123.31861,40728.73182,1,142,1.75
98788,2,20,1,34619.09106,37643.37577,2,138,2.72
98789,2,53,2,22561.22029,27196.05331,1,134,NA
98790,1,44,7,33040.90198,34079.42857,2,142,1.04
98791,1,54,3,221963.1499,256727.4405,1,146,3.98
98792,1,9,4,7980.526568,8848.947331,2,145,0
98793,2,46,6,12110.23992,12677.00151,1,143,5
98794,1,14,3,30318.75137,31064.72599,2,139,0.43
98795,2,16,6,11708.44584,13545.66597,2,138,4.08
98796,2,21,4,36497.98171,36513.47717,1,144,NA
98797,2,55,3,100954.2024,99848.13774,1,146,3.82
98798,2,10,7,17142.52656,17664.66299,2,138,4.25
98799,2,32,3,113642.7678,111536.4941,2,141,5
98800,2,7,6,10860.44182,11405.85865,2,148,1.36
98801,1,14,4,16235.66695,16702.38457,2,146,2.77
98802,1,15,4,18164.34583,18686.5061,2,136,0.65
98803,1,45,1,42936.09653,49310.57806,2,146,NA
98804,2,39,6,25669.47203,28349.76412,1,138,1.1
98805,1,2,2,30763.66025,33299.50808,1,139,2.56
98806,2,72,2,14683.78007,15563.17639,2,141,2.49
98807,2,29,1,20860.38808,24272.57613,2,148,2.38
98808,1,4,3,29904.28985,33128.267,1,138,2.56
98809,2,1,4,11927.50979,11987.77527,2,145,0.74
98810,2,55,4,29334.29066,30022.96658,2,143,3.16
98811,1,1,3,17682.12101,25049.31539,1,136,1.71
98812,2,31,6,28052.0143,27332.06979,1,137,0.79
98813,1,67,6,13448.92928,12817.77826,2,134,NA
98814,1,69,1,10026.72769,10455.29728,1,148,NA
98815,2,75,3,91455.95945,103246.1045,2,142,4.01
98816,2,12,3,17168.09085,17307.99578,1,140,0.94
98817,2,21,3,79414.05994,83135.33026,1,139,4.29
98818,2,2,3,43281.8779,0,1,141,5
98819,2,58,4,43804.73086,45204.79398,2,147,0.49
98820,1,63,3,32052.5275,31604.63061,1,142,2.16
98821,2,35,3,135096.2215,135954.2641,2,143,5
98822,1,39,3,52605.24436,66568.27392,2,147,1.24
