SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDFMPIR
93703,2,2,6,9246.491865,8539.731348,2,145,5
93704,1,2,3,37338.76834,42566.61475,1,143,5
93705,2,66,4,8614.571172,8338.419786,2,145,0.82
93706,1,18,6,8548.632619,8723.439814,2,134,NA
93707,1,13,7,6769.344567,7064.60973,1,138,1.88
93708,2,66,6,13329.45059,14372.48876,2,138,1.63
93709,2,75,4,12043.38827,12277.55666,1,136,0.41
93710,2,0,3,16418.29842,16848.02012,1,134,4.9
93711,1,56,6,11178.26011,12390.91972,2,134,5
93712,1,18,1,29040.49656,30336.65432,2,147,0.76
93713,1,67,3,174806.5752,166841.6607,1,140,2.65
93714,2,54,4,15209.43864,15479.5812,1,147,1.86
93715,1,71,7,9402.255687,9250.904672,2,139,1.56
93716,1,61,6,11247.54342,11581.23354,1,143,5
93717,1,22,3,53249.36797,60117.93607,1,145,1.49
93718,1,45,4,20257.01146,19647.25054,1,144,1.18
93719,2,13,3,67836.64998,69916.126,1,134,3.92
93720,2,1,4,8985.688512,9983.09634,1,136,4.77
93721,2,60,1,8224.936565,8589.051335,2,136,3.04
93722,2,60,3,132077.5762,126309.8233,1,139,2.07
93723,1,64,3,230745.7168,229129.2369,1,140,3.69
93724,2,5,4,11426.38036,12195.68266,2,144,0.42
93725,2,9,3,125854.5201,139773.9754,1,139,5
93726,2,67,1,5239.61127,5435.070518,2,148,1.85
93727,1,70,6,19991.60922,22181.21286,2,138,5
93728,1,53,4,32014.31798,31532.90451,1,148,5
93729,1,42,4,11759.6246,12103.88335,1,137,0.83
93730,1,57,2,27340.92515,28532.93808,1,138,NA
93731,1,20,1,27213.90966,28081.13387,2,141,5
93732,1,72,3,11725.33874,12439.30105,2,141,1.13
93733,2,11,3,17265.99925,19070.07224,2,142,1.58
93734,1,13,3,20517.63387,0,1,142,3.33
93735,1,52,2,10609.72893,10706.38156,1,148,0.35
93736,1,11,1,19019.07867,19236.07849,1,135,NA
93737,1,8,4,14253.76103,15418.48746,2,144,0.14
93738,1,26,2,59333.08167,59094.0994,1,134,5
93739,2,5,1,26762.13926,28437.9916,2,136,1.79
93740,1,72,4,7568.712315,7721.816727,2,144,0.74
93741,2,9,6,9761.107742,10425.89603,2,138,5
93742,1,72,4,13375.69547,14084.02631,2,146,3.62
93743,1,61,3,102288.7345,110345.6781,2,141,3.87
93744,2,10,3,32424.0034,35375.37446,2,141,2.13
93745,1,5,6,9642.926752,9784.573587,1,138,0.56
93746,2,25,4,27134.67477,28801.6359,1,144,3.4
93747,2,13,2,37624.88114,39261.72382,1,134,1.06
93748,1,0,1,9961.521606,12859.36146,2,142,2.79
93749,2,1,3,12961.76533,14360.42992,2,141,0.29
93750,2,52,6,13827.3258,0,2,134,5
93751,2,7,1,39067.0251,49657.57262,2,144,0.04
93752,2,73,3,52415.99801,54611.19864,1,147,3.98
93753,2,10,3,26120.03237,27796.74137,2,142,2.21
93754,1,72,2,31838.40499,36811.17653,2,138,0.82
93755,2,26,4,30922.12632,33269.92737,1,139,2.07
93756,2,64,4,6437.797585,6735.524015,2,148,NA
93757,1,63,3,96421.25084,99269.9578,1,142,2.59
93758,2,55,3,22936.83184,23938.50887,2,139,0.75
93759,1,60,7,199178.5816,212848.2513,2,134,NA
93760,2,54,1,23824.55442,23665.85543,2,147,NA
93761,1,44,6,18939.45047,19910.0932,2,145,1
93762,2,74,1,23713.14786,26249.58636,1,137,1
93763,1,40,3,103670.3567,100887.8594,1,141,3.25
93764,2,1,3,12885.77253,12819.55862,1,142,1.67
93765,1,19,3,74509.25794,75727.27159,2,142,2.01
93766,2,36,2,16414.38756,18420.18991,2,142,0.52
93767,1,61,2,24569.84483,25687.53347,1,137,1.18
93768,1,80,3,14720.13393,20661.28195,2,139,3.04
93769,1,6,7,9054.065721,9479.40988,1,147,5
93770,1,55,2,16429.69588,16779.08407,1,138,0.8
93771,1,3,6,9642.926752,9784.573587,1,138,1.32
93772,2,55,4,20129.83736,20200.60933,1,141,0.7
93773,1,69,3,21085.17247,22749.07155,2,141,0.39
93774,2,41,3,232377.0527,230877.9955,1,136,3.67
93775,2,47,6,12816.63374,13332.11835,1,137,3.73
93776,2,32,4,22486.96769,21739.54544,1,144,1.18
93777,2,72,4,13094.20763,13874.87226,1,144,3.32
93778,2,19,4,21031.99623,22288.19814,1,141,5
93779,2,10,7,5688.852758,5958.516219,1,144,3.03
93780,2,46,7,39418.72937,43102.56241,1,141,1.22
93781,1,32,2,26699.48621,28591.32997,2,141,1.65
93782,2,25,4,35096.11645,36032.55247,1,143,4.65
93783,2,21,2,56051.72405,59166.30089,2,141,0.41
93784,2,2,3,16932.90455,17308.44486,2,145,0.62
93785,2,80,3,51276.38451,55860.33703,2,135,5
93786,1,0,4,3933.059349,0,1,147,0.52
93787,2,13,7,11990.76474,12763.44156,1,145,0.24
93788,2,66,3,151138.8882,149491.3776,1,140,5
93789,2,34,3,260717.5563,269609.4338,2,145,5
93790,2,5,7,9956.353358,9091.396647,2,148,5
93791,1,20,7,18005.92075,23976.31088,1,137,2.94
93792,2,31,2,31023.79589,34146.69449,1,137,0
93793,1,12,1,17613.38367,18248.67867,2,136,NA
93794,2,62,6,11511.94055,13092.2708,2,148,4.81
93795,1,64,4,4769.614244,4579.581002,1,147,2.43
93796,1,71,3,15858.45931,17184.24514,1,146,1.44
93797,2,52,3,126587.0752,122796.6751,1,142,4.93
93798,2,61,4,27038.25106,26414.91812,1,145,NA
93799,1,41,4,45775.95159,46502.33454,1,143,4.62
93800,2,80,3,26840.24458,30055.19866,1,134,2.8
93801,1,59,2,38096.30129,41266.91877,1,134,5
93802,2,2,3,12241.4839,12178.58069,1,142,0.47
93803,1,12,4,17766.93355,19062.1601,1,136,1.52
93804,1,1,3,18061.08048,18682.845,2,134,0.8
93805,2,64,3,45212.47451,47363.43254,1,145,5
93806,1,44,6,12687.3611,13210.56128,1,143,1.35
93807,2,13,1,20418.82814,20841.87827,2,144,4.66
93808,1,14,3,34830.9607,42963.9316,1,146,3.1
93809,1,1,7,12370.42895,13733.64212,1,141,4.47
93810,1,13,4,19642.34375,20206.9912,2,144,NA
93811,1,24,6,19204.13184,24977.78781,1,136,2.94
93812,1,67,3,251030.6852,276495.9554,2,147,5
93813,2,42,1,24105.62847,23420.86771,2,136,1.11
93814,2,41,4,21044.762,27756.33097,2,134,5
93815,2,32,7,11095.7904,10948.20534,2,145,1.12
93816,2,80,2,14551.92152,15983.14949,1,134,0
93817,1,55,6,11106.04594,12353.30324,1,137,5
93818,1,14,1,22838.58557,23556.90596,2,136,3.88
93819,2,63,4,21778.56069,21208.65337,1,141,0.9
93820,2,11,4,18738.26927,19157.06109,2,144,1.7
93821,2,16,6,17699.57881,20517.1818,1,137,0.79
93822,2,6,1,23322.08396,23873.26611,1,144,1.52
93823,2,58,2,21745.67446,20436.01785,1,140,NA
93824,2,52,2,41341.30317,44809.69614,2,146,NA
93825,1,74,3,5801.53496,7992.562066,2,139,1.82
93826,2,74,3,36480.87884,0,2,147,2.33
93827,2,68,6,15014.4816,15873.3164,1,148,NA
93828,2,2,3,13972.25036,15420.92076,1,140,1.47
93829,2,38,4,52037.80666,52561.26384,2,142,5
93830,1,67,4,4668.798603,5139.678134,1,147,5
93831,1,61,2,10040.79406,10839.56451,2,138,2.08
93832,1,63,6,10645.96539,11321.4238,2,135,5
93833,1,6,3,26363.36084,27645.21712,1,134,3.59
93834,2,48,3,22570.56583,24586.089,1,145,0.28
93835,1,27,4,30994.76781,0,1,134,NA
93836,2,13,1,34208.2568,35664.47799,1,135,2.85
93837,2,35,3,37632.32417,37121.36641,1,145,1.03
93838,1,5,1,27025.54371,29406.15952,2,141,NA
93839,2,50,3,171159.8655,190727.3423,1,146,NA
93840,1,47,6,13521.11483,13482.69236,1,137,5
93841,2,48,7,111831.771,137651.3269,2,139,5
93842,1,2,4,5214.591788,5731.502769,1,147,1.17
93843,2,42,2,69827.10174,72835.93957,1,134,5
93844,1,6,3,25584.74674,27109.54486,2,142,0.14
93845,2,28,3,136035.102,137884.5095,2,142,1.93
93846,2,29,4,21170.64332,22754.13049,2,137,0.87
93847,2,43,1,25783.0634,25280.00699,1,148,0.1
93848,1,62,4,11969.59579,12359.195,1,139,1.08
93849,2,40,3,226200.716,253429.4716,2,134,5
93850,2,74,4,24256.02577,23543.44822,1,134,4.86
93851,2,74,3,85525.51305,95014.14106,1,135,5
93852,2,45,7,15432.97567,15767.03106,1,144,2.9
93853,1,50,1,23876.35799,24293.02108,2,137,0.4
93854,1,0,3,15351.05482,15152.01007,1,143,3.67
93855,1,71,3,24893.87758,34530.3655,2,139,4.12
93856,1,66,4,18969.66741,19643.96429,2,145,2.39
93857,2,3,3,26816.9637,34615.50653,2,142,2.06
93858,2,19,7,9691.144203,9789.309548,2,144,0.33
93859,1,73,4,8870.274678,9692.695101,2,134,5
93860,2,39,1,50634.02145,0,2,147,NA
93861,1,76,3,54542.10655,61180.74078,2,143,3.8
93862,1,2,1,12991.80483,14020.33336,1,148,1.69
93863,1,50,6,18828.50278,19227.68447,1,138,NA
93864,2,12,2,28472.37559,29477.23979,2,138,0.05
93865,1,0,3,7981.389783,7515.403282,1,135,3.47
93866,1,26,3,100821.5058,125047.3918,2,137,NA
93867,2,2,1,15691.6874,16878.49809,2,135,2.63
93868,1,68,4,10941.42384,11104.76444,1,136,NA
93869,1,80,3,17672.85483,20486.52877,1,134,1.49
93870,2,20,3,69137.68897,70964.05969,1,138,3.79
93871,2,55,1,14430.31686,14304.85578,2,142,0.67
93872,1,1,1,25721.83567,0,2,137,NA
93873,2,16,1,24373.29649,25365.38387,2,137,0.33
93874,2,8,1,24853.80608,25055.59225,1,138,NA
93875,1,37,4,21754.83353,22498.80566,2,135,0.58
93876,1,10,1,14872.22697,15097.96512,2,135,0.69
93877,1,64,3,36318.62368,35944.55957,1,135,2.6
93878,2,59,4,9357.462676,10142.93381,2,145,0.79
93879,2,7,3,27064.09532,29102.8528,1,139,0.28
93880,2,5,3,25743.12893,25588.25102,2,146,1.8
93881,2,8,1,35099.20786,35200.19142,1,137,0.74
93882,1,26,6,38244.91431,0,1,141,NA
93883,2,30,4,20992.94581,22161.14405,2,142,NA
93884,1,19,3,61383.46944,65404.6837,1,141,NA
93885,1,8,4,12227.12009,13429.78913,2,142,2.37
93886,1,78,3,9284.747729,0,2,139,2.57
93887,1,63,3,16544.71984,17784.04666,2,146,1.4
93888,2,37,3,10205.56999,11574.40905,2,140,3.21
93889,2,8,4,16817.02819,0,1,139,0.54
93890,1,27,6,14312.65442,14834.21084,2,135,3.4
93891,2,56,1,27487.44981,29846.70737,2,136,NA
93892,2,80,3,31602.76373,36342.5743,2,143,1.65
93893,1,55,4,8856.272285,9117.478052,1,147,3.79
93894,2,66,3,21371.58145,23658.07893,2,144,NA
93895,1,40,3,125947.63,124293.6331,1,144,5
93896,1,10,3,14551.31875,15672.56782,1,142,1.55
93897,2,10,3,19279.41137,20593.45868,2,139,1.46
93898,1,5,4,11029.18157,11207.73449,2,146,1.18
93899,1,67,3,24078.27692,26353.92395,2,141,1.79
93900,1,48,1,55207.39417,57805.89755,2,144,1.29
93901,2,12,1,13043.77632,13314.02549,2,141,1.16
93902,2,24,1,23811.47559,27768.67727,2,136,NA
93903,1,62,3,28284.75437,29226.8689,2,136,1.4
93904,1,10,7,21951.71039,24214.83497,2,134,3.98
93905,1,15,6,5321.300654,5400.227225,1,148,3.25
93906,1,39,1,30558.85998,38126.03337,2,136,4.07
93907,2,41,4,49549.3012,50307.15154,1,139,2.49
93908,2,20,6,34601.35839,34390.0991,1,136,NA
93909,1,41,6,13037.89911,13051.88851,2,138,5
93910,1,80,3,59600.39178,0,2,143,NA
93911,1,6,3,50385.44417,53789.40482,2,142,3.4
93912,2,25,4,41682.9474,43609.57369,2,144,NA
93913,2,40,6,16016.21711,16056.01988,2,148,NA
93914,1,41,6,15951.99152,17311.74767,1,138,5
93915,1,34,3,80919.08558,77545.677,2,139,5
93916,1,28,6,15104.70666,15955.88716,1,139,NA
93917,1,14,3,27490.22052,27834.10903,2,143,1.54
93918,1,36,3,39038.20844,38143.24437,1,142,1.63
93919,2,8,3,31719.24353,35033.49311,2,137,3.73
93920,2,61,6,11741.51993,12572.64327,1,148,5
93921,2,7,3,18860.29373,20692.00368,2,139,1.22
93922,1,11,2,12207.07183,14603.22252,1,147,0.07
93923,1,52,3,150314.2614,155035.5825,2,146,NA
93924,2,70,3,28180.84145,29350.96911,1,139,1.08
93925,2,13,4,12937.56041,13324.48778,1,141,3.47
93926,1,31,7,121844.4233,125800.888,1,145,2.03
93927,2,54,3,23181.30923,29781.40372,2,139,1
93928,1,11,3,36727.1104,49694.21592,2,138,NA
93929,2,35,3,126779.2019,124429.4554,2,140,5
93930,1,80,2,12491.03424,13745.24928,2,141,NA
93931,1,24,7,26125.06561,24815.11224,1,137,1.21
93932,2,54,6,14353.91145,14389.58312,1,137,5
93933,2,1,4,7943.548173,0,1,147,0.61
93934,2,0,3,16323.63044,15390.06804,2,145,3.67
93935,1,39,1,37218.56022,38849.71483,2,144,0.29
93936,1,0,3,11102.46363,10691.18289,1,145,3.74
93937,1,30,3,65415.16601,65454.83195,1,145,3.94
93938,2,18,7,93285.21925,97243.9771,2,137,3.37
93939,2,40,4,14496.76872,14689.14255,2,144,2.97
93940,1,50,3,225977.9817,248583.3583,1,138,3.79
93941,1,42,7,11312.61142,11409.42889,2,140,3.21
93942,2,52,3,238440.5519,259474.7556,2,134,5
93943,1,80,3,29092.06708,0,2,137,5
93944,2,2,1,16890.52088,16763.48566,1,135,1.23
93945,1,66,4,8002.337233,8024.126844,2,146,1.4
93946,1,22,1,37412.94647,42210.23606,2,141,1.88
93947,2,53,6,21136.55581,26195.87082,1,138,2.46
93948,1,13,4,17790.20562,18583.26543,2,142,0
93949,2,49,6,6454.262125,6925.672043,1,147,5
93950,1,30,2,61391.45067,64177.63867,2,148,3.32
93951,2,0,4,7608.854901,7098.862128,1,144,1.04
93952,2,34,3,73859.91176,73404.08388,1,142,1.1
93953,1,26,7,13631.28529,14156.87753,2,140,2.04
93954,1,24,3,235948.8027,258942.6309,1,141,1.22
93955,2,66,1,12730.2849,13884.28917,2,136,0.91
93956,1,8,3,45559.01329,0,1,138,5
93957,2,41,3,29161.75672,35987.69597,2,139,1.99
93958,2,2,4,6536.969926,7241.461835,1,144,1.51
93959,2,61,4,17604.34333,17949.59636,1,139,1.52
93960,1,60,4,8073.23214,8607.920304,2,145,0.85
93961,2,54,6,16400.96625,0,2,145,5
93962,1,0,3,16662.56714,17064.69764,1,145,5
93963,1,80,3,5851.260945,8485.369119,2,139,2.07
93964,1,52,6,12519.33068,12746.19743,2,138,4.81
93965,2,30,2,68732.33403,66978.91405,2,148,4.25
93966,1,0,3,10305.47172,9703.795718,1,142,1.75
93967,1,1,3,29938.4896,32106.40719,1,139,0.67
93968,1,57,4,14954.7901,14397.50283,1,145,2.99
93969,2,33,3,61718.25786,62292.5577,2,141,0.6
93970,1,33,6,15562.73036,14962.07627,1,148,3.66
93971,1,40,4,25686.84423,25729.26626,1,143,3.82
93972,1,35,3,124268.7706,154316.6547,1,143,3.92
93973,2,14,2,28993.82215,29793.26075,2,134,0.68
93974,1,59,3,60545.66186,63655.33829,1,148,1.66
93975,2,54,3,80213.51149,77479.09475,2,148,1.68
93976,2,0,2,6906.98721,7077.456686,2,140,0.25
93977,2,66,4,17957.49598,18813.1244,2,134,NA
93978,1,57,6,16459.9698,16370.01878,2,148,0.19
93979,1,16,3,32771.9749,42487.17245,1,142,1.67
93980,2,29,3,151975.7043,159563.7043,1,139,5
93981,2,52,6,14511.68323,14853.58021,1,141,NA
93982,2,57,3,92061.19119,95031.56174,2,136,0
93983,2,75,6,18788.61241,19678.44909,1,136,3.08
93984,2,32,3,40922.4655,39999.59674,2,135,2.79
93985,2,61,2,9531.054959,9578.6946,1,135,0.81
93986,2,7,4,11200.86572,11511.05308,1,144,NA
93987,1,35,1,22970.99728,22831.7857,2,141,1.16
93988,2,32,3,105555.8165,104437.3976,2,135,0.65
93989,2,39,3,20229.20462,19629.85456,2,145,5
93990,2,64,3,125233.3004,123408.3085,1,142,1.85
93991,1,12,2,32478.79211,33500.31678,2,134,NA
93992,2,12,6,10601.89401,12197.97362,1,138,5
93993,2,2,3,15820.50316,16427.55709,2,141,0.98
93994,2,0,4,9328.188751,9613.345906,2,142,0.13
93995,2,12,3,68544.82491,70646.00944,2,138,5
93996,1,3,2,22008.53632,25080.75214,2,134,NA
93997,2,11,3,19396.34146,21201.10851,1,142,0.73
93998,2,24,3,89825.86957,88807.91787,1,142,1.83
93999,2,23,4,32245.72404,34528.91844,2,144,4.98
94000,1,60,3,122588.0524,0,2,147,3.03
94001,2,18,1,27359.10009,28239.3021,2,144,NA
94002,2,27,4,23983.40954,25742.43168,2,144,2.99
94003,2,75,1,17723.77164,17609.22209,1,136,2.74
94004,2,25,6,32012.56025,33140.03386,1,137,3.82
94005,1,7,1,17813.32896,18205.14015,2,136,0.37
94006,1,13,1,44513.6455,46625.53919,1,137,4.2
94007,1,79,4,10936.25749,11904.86623,1,134,3.73
94008,2,46,1,14037.35165,13626.20995,2,136,NA
94009,2,11,2,12077.23617,11897.14769,2,141,2.65
94010,1,71,3,55058.23001,62831.09485,2,138,2.31
94011,2,7,6,11579.67795,12161.21519,2,134,1.99
94012,2,25,7,124613.3046,125331.6036,1,135,2.15
94013,1,56,3,31075.24758,32116.92612,2,140,3.85
94014,2,6,6,12961.65802,13612.59899,1,136,3.67
94015,2,30,3,44180.61955,51552.70785,1,135,1.18
94016,1,70,7,9692.355901,11882.0354,1,140,1.11
94017,1,54,3,123854.92,133063.9783,2,148,5
94018,2,4,6,7712.946642,0,1,137,1.02
94019,2,64,4,34077.9402,36240.1752,2,144,4.57
94020,1,3,3,40622.4215,41365.56743,1,142,1.18
94021,2,38,3,36645.74875,38278.90808,2,147,0.09
94022,2,1,2,12843.95971,13866.07441,1,144,0.69
94023,1,4,4,11771.17043,0,1,147,3.25
94024,1,10,2,16938.85159,17388.91505,1,139,1.1
94025,2,5,6,8871.994087,9284.3814,1,148,4.55
94026,2,80,3,58628.41286,66432.18296,2,137,NA
94027,1,20,1,37609.62731,40566.78449,2,147,NA
94028,2,39,2,57389.29814,55761.57728,2,136,4.43
94029,2,46,3,83118.76872,84105.09587,1,147,4.15
94030,1,45,3,115083.7033,122602.4307,2,136,3.98
94031,1,67,4,8659.737641,9989.999068,2,145,0.99
94032,1,10,7,37283.32438,39802.12661,2,142,0.59
94033,2,55,2,87607.05246,95567.15987,1,139,5
94034,2,54,2,20763.40304,20485.92445,2,141,0.41
94035,2,12,7,17580.31967,17957.66575,2,146,0.28
94036,2,12,1,15093.74936,15349.27363,2,141,0.6
94037,1,59,6,9694.029513,9807.453006,1,141,5
94038,2,59,1,50279.84339,47926.35236,2,140,0.91
94039,1,60,6,11727.46149,12271.35964,1,138,5
94040,1,28,7,12116.58375,12260.43865,2,147,NA
94041,2,60,2,22780.52925,25217.42334,2,134,5
94042,1,26,7,75335.51363,81986.06858,2,144,1.18
94043,1,64,6,10627.98974,10837.03615,2,138,5
94044,2,34,2,49824.79129,49610.52061,1,134,5
94045,1,62,2,9758.013643,10327.61509,1,148,0.89
94046,1,46,2,25665.54339,27451.50855,2,136,1.39
94047,2,45,1,31252.26226,39119.09737,2,138,2.72
94048,1,80,3,13693.14784,19219.79716,2,139,2.64
94049,2,66,4,9873.307393,9984.412131,1,139,1.02
94050,2,55,3,77717.22101,86525.95022,2,146,1.01
94051,2,80,3,40631.19876,45657.67422,1,142,5
94052,1,4,4,7377.025093,7727.849999,1,141,0.73
94053,2,62,4,15584.47556,15591.13978,1,143,1.29
94054,1,50,1,41582.32636,45961.95094,2,137,1.19
94055,1,80,4,9189.486225,9325.146658,2,135,1.58
94056,1,8,4,7919.473627,8781.250762,1,139,3.34
94057,2,62,3,32960.59058,35077.37231,1,135,3.15
94058,2,61,3,81613.44305,80632.74307,1,140,2.34
94059,2,54,1,9071.107549,8754.640415,2,135,0.72
94060,1,59,3,27076.20965,27901.40019,1,140,2.2
94061,2,36,1,27994.9043,30310.96058,1,144,0.87
94062,1,5,3,27708.03278,29825.16555,1,140,4.39
94063,1,2,3,12953.86393,16946.39446,1,146,0.37
94064,1,17,1,28489.97552,29761.56201,2,137,0.4
94065,2,69,4,14536.35106,14084.81215,1,139,2.07
94066,2,1,3,13939.24276,15939.99481,2,137,4.76
94067,1,44,1,20446.6537,20480.46631,2,140,1.22
94068,1,69,3,148118.3657,159061.4891,1,143,4.93
94069,1,61,3,207083.5196,217036.3548,2,147,2.65
94070,2,8,6,12613.57275,13472.63051,1,148,4.17
94071,1,33,6,19099.92649,22740.01847,1,141,3.92
94072,1,0,1,8940.76334,9277.256675,2,141,1
94073,1,69,2,6993.046425,7488.166893,1,145,3.78
94074,1,29,3,151719.4386,169951.0217,2,142,5
94075,1,9,1,13787.38541,13996.65728,2,140,0.68
94076,1,2,1,20422.14822,22221.08664,1,137,0.31
94077,2,79,3,61158.36351,0,1,144,4.15
94078,2,19,3,66128.28987,68094.33081,1,146,NA
94079,2,0,1,10204.94941,10473.17748,2,144,5
94080,2,79,3,82996.88048,88459.79672,1,142,2.46
94081,1,80,6,13386.78388,13779.95848,1,148,5
94082,2,69,3,191892.7765,195848.9601,1,148,5
94083,1,7,2,16155.89491,16783.27294,1,142,4.04
94084,2,61,6,19003.17515,20397.57452,1,141,2.77
94085,2,80,7,49662.21483,0,1,141,0.92
94086,2,80,3,32904.99296,35415.21282,2,139,1.74
94087,1,19,3,62924.10783,61809.6966,1,146,0.62
94088,2,1,3,21628.55916,21839.01087,1,146,3.94
94089,2,12,4,13944.83934,14033.79647,2,147,0.3
94090,2,16,1,38698.8077,42002.58716,2,143,5
94091,1,11,1,29297.55077,30406.18363,1,141,4.63
94092,1,52,1,26842.11552,28682.5298,2,136,NA
94093,1,36,3,144022.5898,167220.6988,2,140,5
94094,2,15,4,9540.711699,11468.04815,2,145,3.3
94095,2,78,4,13456.79452,14322.90052,2,147,1.69
94096,1,80,3,45756.5575,53456.32414,2,144,NA
94097,2,62,3,47269.44133,45319.56318,1,135,1.18
94098,2,23,4,23946.76871,26241.83709,1,144,1.54
94099,2,20,7,15117.34636,15874.0859,2,135,1.54
94100,2,0,2,11454.35515,11086.39243,2,141,1.19
94101,2,64,6,19765.19003,23294.2689,2,138,5
94102,1,72,3,47229.82788,0,2,148,5
94103,1,7,3,27963.77087,29432.7142,1,140,5
94104,2,7,1,17938.68258,17737.04167,1,140,0.63
94105,2,46,1,28047.00644,27389.61734,2,141,5
94106,1,19,1,32569.68429,34546.96587,2,141,NA
94107,2,11,3,62734.55675,80878.13998,1,145,2.43
94108,1,64,1,9758.013643,10327.61509,1,148,1.72
94109,2,13,3,23554.16589,23278.0743,1,145,0.28
94110,1,3,3,36272.90479,49126.31173,2,142,2.95
94111,2,2,3,16795.83003,16908.12081,1,135,1.52
94112,1,28,1,41907.7707,54130.73477,2,136,1.82
94113,2,60,3,70729.84037,72777.30499,1,141,2.02
94114,1,20,4,24315.34179,22836.77506,1,147,NA
94115,1,1,3,14558.74732,19259.63707,1,145,0.33
94116,2,60,3,176729.5435,177352.783,2,137,3.65
94117,2,57,3,25178.4576,26320.95945,1,135,1.88
94118,2,50,2,19035.21787,19878.63358,1,148,NA
94119,1,57,4,16532.847,16695.10556,1,144,2.64
94120,2,11,3,17817.44647,0,2,139,0.81
94121,2,12,3,66651.20081,68632.78826,2,142,0.6
94122,1,33,2,27183.79258,28142.54039,1,144,NA
94123,2,50,4,10622.94006,0,1,143,NA
94124,1,55,2,26214.09986,26719.36637,1,148,1.1
94125,1,13,6,5860.501443,5816.343217,2,145,1
94126,2,62,4,7961.711738,8264.971565,1,147,1.54
94127,2,34,6,39101.01406,38208.15398,1,138,NA
94128,1,35,4,24550.11874,26210.78613,2,144,5
94129,1,7,4,14187.60279,15731.46192,2,145,NA
94130,2,27,4,17681.56223,18933.52493,1,144,NA
94131,2,39,3,51518.12618,50216.95449,1,146,3.05
94132,1,14,4,17312.38046,18256.30558,1,145,0
94133,1,28,1,25108.54179,25580.56162,1,148,NA
94134,2,61,2,24424.77218,26019.64069,2,138,1.02
94135,2,37,2,36681.34203,38116.90465,2,140,3.04
94136,1,10,2,32362.60102,34466.98466,2,143,0
94137,2,49,4,40737.60444,46448.72897,1,134,4.86
94138,2,72,6,9819.214968,10839.07139,1,145,5
94139,2,49,2,20666.10633,20256.92206,2,138,1.15
94140,1,17,1,19067.77947,19536.31455,2,135,0.72
94141,1,71,4,17613.86055,18649.2722,1,141,5
94142,1,5,7,13227.75669,13949.86956,2,142,1.52
94143,1,3,4,7903.775217,8688.027436,2,148,1.26
94144,1,18,7,19148.83819,19752.30732,2,140,1.64
94145,2,15,2,17900.7798,18629.41073,2,141,NA
94146,2,2,3,17480.98003,17629.39499,1,135,0.91
94147,1,80,3,36777.68925,0,2,136,NA
94148,2,18,1,20469.93814,21341.32887,1,147,1.73
94149,1,14,4,20282.60619,24515.97853,1,147,NA
94150,1,68,3,16068.20246,17154.29779,2,146,1.75
94151,1,23,2,77609.40747,98092.69833,1,139,5
94152,2,64,3,39581.00847,39623.45608,1,136,0.92
94153,1,10,7,14806.06451,16059.01838,2,140,0.59
94154,2,80,3,47130.54276,53868.28536,2,143,5
94155,1,56,6,7597.693585,7880.070964,1,148,5
94156,2,63,1,17738.66881,19867.28359,2,141,5
94157,2,60,6,15039.13636,15137.15904,2,140,5
94158,1,66,1,9236.014503,10007.62359,1,136,NA
94159,2,13,1,19871.44178,20207.8483,1,144,0.69
94160,2,22,3,92911.75203,95674.89808,1,134,4.04
94161,1,53,6,5559.509578,6400.573834,1,137,2.16
94162,1,64,2,7806.939623,8447.180947,2,141,0.48
94163,1,35,3,20441.5713,21026.81374,2,139,1.53
94164,2,18,6,14034.1523,15950.12922,1,138,1.47
94165,2,9,4,12661.22862,13337.88843,1,136,0.52
94166,1,28,3,98091.56438,126438.5107,2,136,0.99
94167,1,17,7,154056.8083,160820.5488,1,143,3.04
94168,2,66,2,11262.01836,11360.18435,1,139,0.4
94169,1,26,6,23928.66509,30712.54312,1,148,5
94170,1,2,4,9875.873289,9933.685293,1,144,NA
94171,1,8,4,16838.01539,18741.29226,1,139,0.94
94172,2,2,3,26928.18026,27394.4714,1,135,3.74
94173,2,68,4,12902.74879,12621.34813,1,145,0.74
94174,2,45,1,22632.44237,22151.15295,2,136,NA
94175,1,77,3,9784.956196,9942.677908,2,139,1.46
94176,2,24,3,144839.6501,145674.5383,1,135,3.48
94177,2,59,1,23665.20574,22323.3288,2,140,1.64
94178,1,34,3,168876.069,171391.1704,2,142,3.4
94179,1,72,3,7135.056421,9478.71354,2,139,1.52
94180,2,7,3,13380.58681,14292.58168,2,141,1.77
94181,2,36,6,39101.01406,38208.15398,1,138,NA
94182,2,59,3,125121.3045,125655.745,2,141,5
94183,1,49,3,114528.1721,113714.7522,1,142,5
94184,1,8,3,53135.29133,57123.72651,2,142,1.93
94185,1,3,1,19665.45039,21397.7331,2,136,NA
94186,2,13,4,12289.48941,12553.27247,1,147,NA
94187,2,54,6,20985.32419,26451.36529,2,138,5
94188,1,64,3,16526.28316,0,2,139,1.82
94189,2,21,1,39253.5474,47206.96498,2,136,1.49
94190,1,43,6,26611.55231,28042.84973,1,148,4.07
94191,2,2,3,22960.75754,24959.043,2,143,2.65
94192,2,54,3,243181.5169,252445.4117,2,142,5
94193,2,58,4,24273.12887,26440.85263,2,137,1.68
94194,2,9,3,20224.28032,25610.9083,1,145,1.3
